Address,Size,Type,Decompiled,Library,Obj,Name
8001B410,000534,F,F,,,__ct__10CPatternedFRC9TUniqueIdRCQ24rstl66basic_string<c&#44;Q24rstl14char_traits<c>&#44;Q24rstl17rmemory_allocator>RC11CEntityInfoUiRC12CTransform4fRCQ24rstl22auto_ptr<10CModelData>RC14CPatternedInfoQ210CPatterned13EMovementTypeQ210CPatterned13EColliderTypeRC16CActorParametersRC13CMaterialListRCQ24rstl76vector<Q24rstl32ncrc_ptr<20CGameCharacterModule>&#44;Q24rstl17rmemory_allocator>
8001B950,000028,F,F,,,ExcludeChildCollision__10CPatternedCFPC15CCollisionActor
8001B980,000798,F,F,,,SetupAIStateMachine__10CPatternedFR13CStateManager
8001C120,000084,F,F,,,
8001C1B0,000064,F,F,,,
8001C220,000234,F,F,,,SetupAnimStateMachine__10CPatternedFR13CStateManager
8001C460,000074,F,F,,,
8001C4E0,000154,F,F,,,
8001C640,000064,F,F,,,
8001C6B0,0005EC,F,F,,,AcceptScriptMsg__10CPatternedFR13CStateManagerRC10CScriptMsg
8001CC90,00000C,F,F,,,ApplyBoneTracking__10CPatternedCFv
8001CCA0,0000F4,F,F,,,
8001CDA0,000108,F,F,,,Death__10CPatternedFR13CStateManagerRC9CVector3f18EScriptObjectState
8001CEB0,000090,F,F,,,ResetAfterResurrection__10CPatternedFR13CStateManager
8001CF40,000040,F,F,,,
8001CF80,0000B8,F,F,,,
8001D040,0000D4,F,F,,,UpdateModelColor__10CPatternedFf
8001D120,000038,F,F,,,PreThink__10CPatternedFfR13CStateManager
8001D160,00027C,F,F,,,Think__10CPatternedFfR13CStateManager
8001D3E0,000020,F,F,,,
8001D3F0,0000A8,F,F,,,
8001D400,000098,F,F,,,AfterMovePhysicsActors__10CPatternedFR13CStateManagerf
8001D4A0,000004,F,F,,,AfterMovePlayers__10CPatternedFR13CStateManagerf
8001D4B0,00004C,F,F,,,FinalizeProceduralAnimation__10CPatternedFv
8001D500,000124,F,F,,,CollidedWith__10CPatternedFR13CStateManagerRC9TUniqueIdRC18CCollisionInfoList
8001D630,0000E4,F,F,,,
8001D720,0000E8,F,F,,,DoUserAnimEvent__10CPatternedFR13CStateManagerRC15CAnimUserNotifyQ25NAnim11EEventStatef
8001D810,0002F8,F,F,,,DeathDelete__10CPatternedFR13CStateManager
8001DB10,00003C,F,F,,,Delete__10CPatternedFR13CStateManager
8001DB50,000008,F,F,,,ContactDamage__10CPatternedFv
8001DB60,000008,F,F,,,GetContactDamage__10CPatternedCFv
8001DB70,000118,F,F,,,GetAimPosition__10CPatternedCFRC13CStateManagerf
8001DC90,0004D8,F,F,,,PreRenderInViewport__10CPatternedFR14CRenderManager
8001E160,000008,F,F,,,
8001E170,000004,F,F,,,UpdateProceduralAnimation__10CPatternedFR13CStateManagerf
8001E180,0000A4,F,F,,,RenderSorted__10CPatternedCFRC14CRenderManager
8001E220,000004,F,F,,,GetDamageVulnerability__10CPatternedCFv
8001E230,0000CC,F,F,,,GetDamageVulnerability__10CPatternedCFRC9CVector3fRC9CVector3fRC11CDamageInfo
8001E240,0000BC,F,F,,,RenderUnsortedAndAddSorted__10CPatternedCFRC14CRenderManager
8001E300,000058,F,F,,,
8001E360,00000C,F,F,,,StartBlinkingFromDamage__10CPatternedFv
8001E370,0001B8,F,F,,,AddCollisionSet__10CPatternedFR13CStateManagerRCQ24rstl66basic_string<c&#44;Q24rstl14char_traits<c>&#44;Q24rstl17rmemory_allocator>Q222CCollisionActorManager14EUpdateOptions
8001E530,000068,F,F,,,
8001E5A0,000004,F,F,,,CollisionActorDamaged__10CPatternedFR13CStateManagerUcR15CCollisionActorRC10CScriptMsgfRC11CDamageInfob
8001E5B0,000004,F,F,,,CollisionActorCollided__10CPatternedFR13CStateManagerUcR15CCollisionActorRC10CScriptMsg
8001E5C0,000008,F,F,,,CollisionActorCollidedWith__10CPatternedFR13CStateManagerRC9TUniqueIdRC9TUniqueIdRC18CCollisionInfoList
8001E5D0,000004,F,F,,,CollisionActorResistedOrReflectedDamage__10CPatternedFR13CStateManagerUcR15CCollisionActorRC10CScriptMsg
8001E5E0,00013C,F,F,,,
8001E720,0000B4,F,F,,,
8001E7E0,000068,F,F,,,GetDoThinkLogic__10CPatternedCFRC13CStateManager
8001E850,00000C,F,F,,,HitWallDuringJump__10CPatternedFR13CStateManager
8001E860,000010,F,F,,,GetCollisionResolutionResponseFromParent__10CPatternedCFRC13CStateManagerRC9TUniqueIdRC9TUniqueId
8001E870,000098,F,F,,,
8001E8B0,000058,F,F,,,
8001E910,000004,F,F,,,
8001E920,000008,F,F,,,
8001E930,00000C,F,F,,,
8001E940,000008,F,F,,,
8001E950,000008,F,F,,,
8001E960,000044,F,F,,,
8001E9B0,00003C,F,F,,,
8001E9F0,0000DC,F,F,,,
8001EAD0,00009C,F,F,,,
8001EB70,000014,F,F,,,
8001EB90,000014,F,F,,,
8001EBB0,000064,F,F,,,
8001EC20,000014,F,F,,,
8001EC40,00005C,F,F,,,
8001ECA0,00008C,F,F,,,IsOnScreen__10CPatternedCFRC13CStateManager
8001ECE0,00004C,F,F,,,IsCompletelyOnScreen__10CPatternedCFRC13CStateManager
8001ED30,000018,F,F,,,
8001ED50,00000C,F,F,,,
8001ED60,000038,F,F,,,
8001EDA0,000124,F,F,,,
8001EED0,0000A8,F,F,,,FacingPoint2D__10CPatternedCFRC9CVector3ff
8001EF80,000098,F,F,,,FacingPoint2DUsingCos__10CPatternedCFRC9CVector3ff
8001F020,00001C,F,F,,,
8001F040,000014,F,F,,,
8001F060,000004,F,F,,,DeathDelete__10CPatternedFR13CStateManagerRC14CFSMPropertiesf
8001F070,000004,F,F,,,
8001F080,000004,F,F,,,
8001F090,0001C4,F,F,,,
8001F260,000220,F,F,,,
8001F480,00009C,F,F,,,
8001F520,000100,F,F,,,
8001F620,000028,F,F,,,
8001F650,000074,F,F,,,
8001F6D0,0000EC,F,F,,,
8001F7C0,000038,F,F,,,
